                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0xe848b023f010, 2000000 allocated for zone
Using /home/daniel/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/daniel/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/daniel/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 17:23:54 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 17:23:54	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-04 17:23:56	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-04 17:23:57	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-04 17:23:58	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-04 17:23:59	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-04 17:24:00	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-04 17:24:01	 381	 -212	-270	-9	 82.97	 12	-12 	0
When: 2025-11-04 17:24:01 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 17:24:03	 440	 1186	-3479	0	 46.05	 5	5 	0
2025-11-04 17:24:04	 475	 1317	-3294	-16	 114.61	 -1	7 	0
2025-11-04 17:24:05	 510	 1177	-3173	-16	 167.34	 -7	3 	0
2025-11-04 17:24:06	 545	 916	-3201	-8	 193.71	 -8	-3 	0
2025-11-04 17:24:07	 580	 633	-3228	-8	 179.65	 -9	0 	0
2025-11-04 17:24:08	 615	 343	-3267	-8	 202.50	 -8	-3 	0
2025-11-04 17:24:09	 650	 103	-3366	-8	 244.69	 -2	-4 	0
2025-11-04 17:24:10	 685	 206	-3440	-8	 0.70	 5	0 	0
2025-11-04 17:24:11	 720	 449	-3393	-8	 72.77	 2	5 	0
2025-11-04 17:24:12	 755	 386	-3162	-8	 136.05	 -6	5 	0
2025-11-04 17:24:13	 790	 312	-3025	-8	 169.45	 -2	0 	0
2025-11-04 17:24:14	 825	 110	-3062	-8	 234.49	 -7	-4 	0
2025-11-04 17:24:15	 860	 134	-3165	-8	 320.62	 0	-1 	0
2025-11-04 17:24:16	 895	 309	-3177	-8	 354.02	 7	-1 	0
