                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0xf4db4e9bf010, 2000000 allocated for zone
Using /home/daniel/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/daniel/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/daniel/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 17:33:25 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 17:33:25	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-04 17:33:28	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-04 17:33:29	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-04 17:33:30	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-04 17:33:31	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-04 17:33:32	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-04 17:33:33	 381	 -212	-270	-9	 82.97	 12	-12 	0
2025-11-04 17:33:34	 416	 -136	-150	0	 188.44	 -12	1 	5
2025-11-04 17:33:35	 451	 -98	7	0	 33.75	 12	5 	5
2025-11-04 17:33:36	 486	 180	353	40	 87.19	 0	15 	0
2025-11-04 17:33:37	 521	 286	539	56	 133.59	 3	7 	0
2025-11-04 17:33:38	 556	 155	735	56	 156.09	 -6	0 	0
2025-11-04 17:33:39	 596	 130	735	56	 323.44	 8	0 	0
2025-11-04 17:33:40	 631	 335	611	56	 277.03	 -2	-6 	0
2025-11-04 17:33:41	 666	 316	609	56	 282.66	 0	0 	0
2025-11-04 17:33:42	 701	 198	523	56	 310.78	 -7	2 	0
2025-11-04 17:33:43	 736	 139	538	56	 323.44	 1	-2 	0
2025-11-04 17:33:44	 771	 155	525	56	 324.84	 -5	3 	0
2025-11-04 17:33:45	 806	 352	451	56	 247.50	 5	8 	0
2025-11-04 17:33:46	 841	 311	273	56	 52.03	 3	2 	0
2025-11-04 17:33:47	 876	 344	361	56	 95.62	 -2	-1 	0
2025-11-04 17:33:48	 911	 314	314	56	 99.84	 -1	0 	0
2025-11-04 17:33:49	 946	 334	326	56	 119.53	 -1	2 	0
2025-11-04 17:33:50	 988	 311	385	56	 116.72	 -4	8 	0
2025-11-04 17:33:51	 1023	 151	521	56	 262.97	 -1	-1 	0
2025-11-04 17:33:52	 1058	 151	422	56	 271.41	 0	-8 	0
2025-11-04 17:33:53	 1093	 155	360	48	 271.41	 -1	4 	0
2025-11-04 17:33:54	 1128	 149	507	56	 275.62	 -1	1 	0
2025-11-04 17:33:55	 1163	 151	545	56	 277.03	 5	5 	0
2025-11-04 17:33:56	 1198	 177	397	56	 271.41	 -1	-2 	0
2025-11-04 17:33:57	 1233	 172	373	51	 271.41	 0	-5 	0
2025-11-04 17:33:58	 1268	 172	366	48	 271.41	 0	-3 	0
When: 2025-11-04 17:33:58 Episode: 2 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 17:34:01	 1317	 -12	37	0	 222.23	 -1	-1 	0
2025-11-04 17:34:04	 1421	 17	200	0	 90.75	 0	7 	0
2025-11-04 17:34:05	 1456	 22	403	0	 81.96	 0	6 	0
2025-11-04 17:34:06	 1491	 90	503	0	 357.58	 6	0 	0
2025-11-04 17:34:07	 1526	 354	454	0	 338.25	 7	-3 	0
2025-11-04 17:34:08	 1561	 567	393	0	 1.10	 1	-1 	0
2025-11-04 17:34:09	 1596	 582	389	0	 354.07	 -2	-1 	0
2025-11-04 17:34:10	 1631	 555	387	0	 354.07	 -1	0 	0
2025-11-04 17:34:12	 1703	 537	393	0	 348.79	 -1	0 	0
2025-11-04 17:34:14	 1776	 643	363	0	 336.49	 1	-1 	0
2025-11-04 17:34:15	 1811	 739	335	0	 350.55	 6	-2 	0
2025-11-04 17:34:16	 1846	 993	356	0	 59.11	 5	5 	0
2025-11-04 17:34:17	 1881	 945	449	0	 159.30	 -8	3 	0
2025-11-04 17:34:18	 1916	 768	430	0	 224.34	 -6	-5 	0
2025-11-04 17:34:19	 1951	 532	352	0	 117.11	 -5	1 	0
2025-11-04 17:34:20	 1986	 509	379	0	 18.68	 4	1 	0
2025-11-04 17:34:21	 2021	 759	429	0	 340.00	 8	-1 	0
2025-11-04 17:34:22	 2056	 1028	341	0	 352.31	 8	-2 	0
2025-11-04 17:34:23	 2091	 1287	319	0	 34.50	 4	0 	0
2025-11-04 17:34:24	 2126	 1424	394	0	 347.04	 3	-1 	0
2025-11-04 17:34:25	 2161	 1555	229	0	 267.93	 1	-8 	0
2025-11-04 17:34:26	 2196	 1556	96	0	 253.87	 -1	-1 	0
2025-11-04 17:34:27	 2231	 1559	96	0	 259.15	 0	1 	0
2025-11-04 17:34:28	 2279	 1562	113	0	 259.15	 -1	-1 	0
2025-11-04 17:34:30	 2328	 1554	119	0	 278.48	 -1	0 	0
2025-11-04 17:34:34	 2472	 1556	103	0	 274.97	 0	-5 	0
2025-11-04 17:34:35	 2507	 1540	-150	0	 262.66	 -2	-9 	0
2025-11-04 17:34:36	 2542	 1578	-430	0	 259.15	 1	-9 	0
2025-11-04 17:34:37	 2577	 1434	-599	0	 136.10	 -7	1 	0
2025-11-04 17:34:38	 2612	 1452	-417	0	 85.12	 1	7 	0
2025-11-04 17:34:39	 2647	 1443	-138	0	 72.82	 1	8 	0
2025-11-04 17:34:40	 2682	 1444	139	0	 120.28	 -4	7 	0
2025-11-04 17:34:41	 2717	 1330	256	0	 151.92	 -7	2 	0
2025-11-04 17:34:42	 2752	 1223	319	0	 164.22	 -4	0 	0
2025-11-04 17:34:43	 2787	 985	335	0	 180.04	 -9	0 	0
2025-11-04 17:34:44	 2822	 697	366	0	 162.47	 -9	1 	0
2025-11-04 17:34:45	 2857	 417	444	0	 162.47	 -8	2 	0
2025-11-04 17:34:46	 2892	 148	529	0	 178.29	 -5	1 	0
2025-11-04 17:34:47	 2927	 48	428	0	 269.69	 -2	-8 	0
2025-11-04 17:34:48	 2962	 21	150	0	 308.36	 1	-8 	0
2025-11-04 17:34:49	 2997	 111	26	0	 264.42	 0	-1 	0
2025-11-04 17:34:50	 3046	 -28	38	0	 192.35	 -6	0 	0
2025-11-04 17:34:51	 3081	 -86	43	0	 273.21	 -1	0 	0
2025-11-04 17:34:54	 3170	 -2	189	0	 67.90	 5	11 	0
2025-11-04 17:34:55	 3205	 160	488	0	 336.49	 12	-1 	0
2025-11-04 17:34:56	 3240	 672	348	0	 350.55	 15	-5 	0
2025-11-04 17:34:57	 3275	 1199	272	0	 29.22	 1	1 	0
2025-11-04 17:34:58	 3310	 1451	363	0	 13.40	 12	3 	0
2025-11-04 17:34:59	 3345	 1583	302	0	 262.66	 -1	-6 	0
2025-11-04 17:35:00	 3380	 1556	41	0	 262.66	 -2	-9 	0
2025-11-04 17:35:01	 3415	 1512	-303	0	 262.66	 -2	-15 	0
2025-11-04 17:35:02	 3450	 1475	-616	0	 296.06	 -1	-2 	0
2025-11-04 17:35:03	 3499	 1523	-622	0	 59.11	 1	1 	0
2025-11-04 17:35:04	 3534	 1633	-419	0	 81.96	 2	7 	0
2025-11-04 17:35:05	 3569	 1700	-205	0	 96.02	 1	4 	0
2025-11-04 17:35:06	 3604	 1579	-85	0	 154.03	 -8	2 	0
2025-11-04 17:35:07	 3639	 1492	11	0	 76.68	 1	6 	0
2025-11-04 17:35:08	 3674	 1413	232	0	 162.82	 -7	3 	0
2025-11-04 17:35:09	 3709	 1296	287	0	 162.82	 -1	1 	0
2025-11-04 17:35:10	 3744	 1086	333	0	 175.12	 -9	0 	0
2025-11-04 17:35:11	 3779	 780	361	0	 175.12	 -13	1 	0
2025-11-04 17:35:12	 3814	 333	460	0	 145.24	 -9	4 	0
2025-11-04 17:35:13	 3849	 207	522	0	 192.70	 -5	-1 	0
2025-11-04 17:35:14	 3884	 -27	447	8	 243.68	 -6	-6 	0
2025-11-04 17:35:15	 3919	 -104	400	0	 329.81	 2	-1 	0
2025-11-04 17:35:16	 3954	 47	344	0	 268.29	 -1	-3 	0
2025-11-04 17:35:17	 3989	 19	129	0	 261.25	 -1	-4 	0
2025-11-04 17:35:18	 4024	 2	12	0	 224.34	 -1	-2 	0
2025-11-04 17:35:19	 4059	 -7	13	0	 115.36	 -2	3 	0
2025-11-04 17:35:20	 4094	 -43	121	0	 62.62	 0	2 	0
2025-11-04 17:35:21	 4129	 -48	302	0	 99.54	 -1	4 	0
2025-11-04 17:35:22	 4164	 -45	378	0	 80.20	 0	0 	0
2025-11-04 17:35:23	 4211	 -40	381	0	 110.08	 0	-1 	0
2025-11-04 17:35:25	 4259	 -48	393	0	 118.87	 -1	1 	0
2025-11-04 17:35:26	 4294	 -55	441	8	 87.23	 0	3 	0
2025-11-04 17:35:28	 4375	 1705	341	-64	 306.21	 2	-4 	3
2025-11-04 17:35:29	 4410	 1710	118	-64	 242.93	 -3	-7 	0
2025-11-04 17:35:30	 4445	 1689	114	-64	 261.31	 -1	-1 	0
2025-11-04 17:35:33	 4518	 -1	182	0	 90.00	 -1	7 	0
2025-11-04 17:35:34	 4553	 38	455	0	 21.45	 4	5 	0
2025-11-04 17:35:35	 4588	 261	468	0	 341.02	 7	-3 	0
2025-11-04 17:35:36	 4623	 463	421	0	 351.56	 4	-1 	0
2025-11-04 17:35:37	 4658	 557	409	0	 351.56	 -1	-1 	0
2025-11-04 17:35:39	 4710	 543	405	0	 7.38	 -1	-1 	0
2025-11-04 17:35:42	 4831	 525	408	0	 332.23	 -1	0 	0
