                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0xf3ec64aff010, 2000000 allocated for zone
Using /home/daniel/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/daniel/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/daniel/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 17:41:08 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 17:41:08	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-04 17:41:10	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-04 17:41:11	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-04 17:41:12	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-04 17:41:13	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-04 17:41:14	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-04 17:41:15	 381	 -212	-270	-9	 82.97	 12	-12 	0
2025-11-04 17:41:16	 416	 -136	-150	0	 188.44	 -12	1 	5
2025-11-04 17:41:17	 451	 -98	7	0	 33.75	 12	5 	5
2025-11-04 17:41:18	 486	 180	353	40	 87.19	 0	15 	0
2025-11-04 17:41:19	 521	 286	539	56	 133.59	 3	7 	0
2025-11-04 17:41:20	 556	 155	735	56	 156.09	 -6	0 	0
2025-11-04 17:41:21	 596	 130	735	56	 323.44	 8	0 	0
2025-11-04 17:41:22	 631	 335	611	56	 277.03	 -2	-6 	0
2025-11-04 17:41:23	 666	 316	609	56	 282.66	 0	0 	0
2025-11-04 17:41:24	 701	 198	523	56	 310.78	 -7	2 	0
2025-11-04 17:41:25	 736	 139	538	56	 323.44	 1	-2 	0
2025-11-04 17:41:26	 771	 155	525	56	 324.84	 -5	3 	0
2025-11-04 17:41:27	 806	 352	451	56	 247.50	 5	8 	0
2025-11-04 17:41:28	 841	 311	273	56	 52.03	 3	2 	0
2025-11-04 17:41:29	 876	 344	361	56	 95.62	 -2	-1 	0
2025-11-04 17:41:30	 911	 314	314	56	 99.84	 -1	0 	0
2025-11-04 17:41:31	 946	 334	326	56	 119.53	 -1	2 	0
2025-11-04 17:41:33	 988	 311	385	56	 116.72	 -4	8 	0
2025-11-04 17:41:34	 1023	 151	521	56	 262.97	 -1	-1 	0
2025-11-04 17:41:35	 1058	 151	422	56	 271.41	 0	-8 	0
2025-11-04 17:41:36	 1093	 155	360	48	 271.41	 -1	4 	0
2025-11-04 17:41:37	 1128	 149	507	56	 275.62	 -1	1 	0
2025-11-04 17:41:38	 1163	 151	545	56	 277.03	 5	5 	0
2025-11-04 17:41:39	 1198	 177	397	56	 271.41	 -1	-2 	0
2025-11-04 17:41:40	 1233	 172	373	51	 271.41	 0	-5 	0
2025-11-04 17:41:41	 1268	 172	366	48	 271.41	 0	-3 	0
2025-11-04 17:41:42	 1303	 171	399	56	 271.41	 0	-5 	0
2025-11-04 17:41:43	 1338	 180	277	16	 251.72	 -2	-6 	0
2025-11-04 17:41:44	 1373	 54	-7	0	 98.44	 -2	-1 	5
2025-11-04 17:41:45	 1408	 -51	22	0	 82.97	 -2	0 	5
2025-11-04 17:41:46	 1443	 -107	-16	0	 85.78	 -7	4 	5
2025-11-04 17:41:47	 1478	 -194	-7	0	 77.34	 -1	0 	5
2025-11-04 17:41:48	 1513	 -199	-17	0	 77.34	 1	-1 	5
2025-11-04 17:41:49	 1548	 -102	239	0	 139.22	 2	11 	5
2025-11-04 17:41:50	 1583	 -32	241	0	 265.78	 -1	-14 	5
2025-11-04 17:41:51	 1618	 -210	-59	0	 35.16	 -3	-2 	5
2025-11-04 17:41:52	 1653	 14	84	0	 49.22	 10	9 	5
2025-11-04 17:41:53	 1688	 -107	-9	0	 29.53	 -4	-3 	5
2025-11-04 17:41:54	 1723	 -231	-77	0	 19.69	 -10	-5 	5
When: 2025-11-04 17:41:54 Episode: 3 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 17:41:57	 1793	 293	-1529	-114	 86.48	 0	0 	9
2025-11-04 17:41:58	 1841	 293	-1529	-66	 93.52	 -1	0 	9
2025-11-04 17:41:59	 1876	 288	-1528	-8	 84.73	 0	1 	9
2025-11-04 17:42:00	 1911	 302	-1308	-8	 107.58	 -2	7 	0
2025-11-04 17:42:01	 1946	 214	-1048	-8	 121.64	 -5	6 	0
2025-11-04 17:42:02	 1981	 215	-799	-8	 37.27	 6	6 	0
2025-11-04 17:42:03	 2016	 443	-744	-8	 279.49	 6	-12 	0
2025-11-04 17:42:04	 2051	 552	-1106	-8	 279.49	 0	-3 	0
2025-11-04 17:42:06	 2113	 555	-1099	-8	 279.49	 0	2 	0
2025-11-04 17:42:07	 2148	 579	-1062	-8	 260.16	 -1	-2 	0
2025-11-04 17:42:08	 2183	 510	-1207	-8	 202.15	 -4	-3 	0
2025-11-04 17:42:09	 2218	 230	-1333	-8	 198.63	 -14	-6 	0
2025-11-04 17:42:10	 2253	 -312	-1343	-8	 114.26	 -14	7 	0
2025-11-04 17:42:11	 2288	 -320	-1045	-8	 28.12	 5	5 	0
2025-11-04 17:42:12	 2323	 -71	-910	-8	 337.15	 7	0 	0
2025-11-04 17:42:13	 2358	 76	-970	-8	 305.51	 0	-1 	0
2025-11-04 17:42:17	 2464	 287	-1546	-128	 90.00	 -1	4 	9
2025-11-04 17:42:20	 2568	 287	-1514	-8	 90.00	 -1	6 	9
2025-11-04 17:42:21	 2603	 287	-1061	-8	 90.00	 -1	16 	0
2025-11-04 17:42:22	 2638	 287	-1057	-8	 82.97	 -1	0 	0
2025-11-04 17:42:24	 2702	 299	-1057	-8	 42.54	 2	4 	0
2025-11-04 17:42:25	 2737	 481	-910	-8	 82.97	 2	2 	0
2025-11-04 17:42:26	 2772	 477	-886	-8	 188.44	 -6	-1 	0
2025-11-04 17:42:27	 2807	 379	-897	-8	 197.23	 -1	-1 	0
2025-11-04 17:42:28	 2864	 398	-897	-8	 181.41	 0	-1 	0
2025-11-04 17:42:29	 2900	 351	-891	-8	 181.41	 -7	-1 	0
2025-11-04 17:42:30	 2935	 -53	-905	-8	 211.29	 -16	-3 	0
2025-11-04 17:42:31	 2970	 -182	-1037	-8	 292.15	 4	-16 	0
2025-11-04 17:42:32	 3005	 125	-1405	-8	 0.70	 14	-5 	0
2025-11-04 17:42:33	 3040	 383	-1148	-8	 102.66	 -1	8 	0
2025-11-04 17:42:34	 3075	 383	-1064	-8	 102.66	 0	0 	0
2025-11-04 17:42:35	 3110	 376	-1032	-8	 83.32	 -1	0 	0
2025-11-04 17:42:37	 3170	 392	-955	-8	 79.80	 1	6 	0
2025-11-04 17:42:38	 3205	 336	-735	-8	 134.30	 -4	4 	0
2025-11-04 17:42:39	 3240	 211	-599	-8	 121.99	 -2	2 	0
2025-11-04 17:42:40	 3275	 139	-472	-8	 62.23	 -1	1 	0
2025-11-04 17:42:41	 3323	 210	-480	-8	 307.97	 1	-1 	0
2025-11-04 17:42:42	 3358	 326	-671	-8	 297.42	 3	-8 	0
2025-11-04 17:42:43	 3393	 385	-944	-8	 227.11	 -3	-8 	0
2025-11-04 17:42:44	 3428	 197	-1106	-8	 176.13	 -8	-3 	0
2025-11-04 17:42:45	 3463	 -49	-1012	-8	 146.25	 -7	5 	0
2025-11-04 17:42:46	 3498	 -289	-1009	-8	 241.17	 -6	-7 	0
2025-11-04 17:42:47	 3533	 -447	-1435	-8	 355.43	 6	-11 	0
2025-11-04 17:42:48	 3568	 32	-1547	-8	 325.55	 15	-5 	0
2025-11-04 17:42:49	 3603	 481	-1568	-8	 93.87	 4	12 	0
2025-11-04 17:42:50	 3638	 437	-1043	-8	 109.69	 -5	15 	0
2025-11-04 17:42:51	 3673	 250	-504	-8	 109.69	 -5	12 	0
2025-11-04 17:42:52	 3708	 186	-449	0	 100.90	 -1	0 	0
2025-11-04 17:42:54	 3766	 236	-475	-8	 315.00	 5	-4 	0
2025-11-04 17:42:55	 3801	 383	-593	-8	 16.52	 7	0 	0
2025-11-04 17:42:56	 3836	 553	-518	-8	 351.91	 7	1 	0
2025-11-04 17:42:57	 3871	 649	-776	-8	 232.38	 -8	-13 	0
2025-11-04 17:42:58	 3906	 397	-1271	-8	 211.29	 -10	-14 	0
2025-11-04 17:42:59	 3941	 -44	-1583	-8	 139.22	 -15	0 	0
2025-11-04 17:43:00	 3976	 -505	-1311	-8	 132.19	 -13	10 	0
2025-11-04 17:43:01	 4011	 -483	-867	-8	 30.23	 10	11 	0
2025-11-04 17:43:02	 4046	 -93	-705	-8	 5.62	 9	1 	0
2025-11-04 17:43:03	 4081	 48	-679	-8	 58.36	 3	3 	0
2025-11-04 17:43:04	 4116	 103	-604	-8	 77.70	 1	2 	0
2025-11-04 17:43:05	 4151	 110	-565	-8	 105.82	 -2	4 	0
2025-11-04 17:43:06	 4186	 96	-493	-8	 105.82	 -1	0 	0
2025-11-04 17:43:08	 4260	 101	-465	-8	 12.66	 3	0 	0
2025-11-04 17:43:09	 4295	 170	-462	0	 63.63	 1	3 	0
2025-11-04 17:43:10	 4330	 190	-456	0	 63.63	 0	0 	0
2025-11-04 17:43:12	 4392	 190	-478	-8	 86.48	 -1	-1 	0
2025-11-04 17:43:13	 4427	 190	-523	-8	 86.48	 -1	-1 	0
2025-11-04 17:43:14	 4463	 187	-587	-8	 86.48	 -1	-7 	0
2025-11-04 17:43:15	 4498	 182	-662	-8	 93.52	 -1	-1 	0
2025-11-04 17:43:16	 4533	 197	-819	-8	 95.27	 0	-5 	0
2025-11-04 17:43:17	 4568	 201	-862	-8	 95.27	 0	-1 	0
2025-11-04 17:43:18	 4613	 187	-780	-8	 79.98	 -1	1 	0
2025-11-04 17:43:20	 4657	 287	-1568	-128	 90.00	 -1	1 	9
2025-11-04 17:43:22	 4710	 287	-1529	-103	 90.00	 -1	0 	9
2025-11-04 17:43:23	 4745	 287	-1529	-68	 90.00	 -1	1 	9
2025-11-04 17:43:24	 4780	 287	-1529	-33	 90.00	 -1	1 	9
2025-11-04 17:43:25	 4815	 129	-1175	-8	 128.67	 -11	12 	0
2025-11-04 17:43:26	 4850	 167	-848	-8	 344.53	 3	1 	0
2025-11-04 17:43:27	 4885	 208	-822	-8	 274.22	 0	0 	0
2025-11-04 17:43:30	 4976	 206	-747	-8	 274.22	 -1	6 	0
2025-11-04 17:43:31	 5011	 195	-597	-8	 274.22	 -1	0 	0
2025-11-04 17:43:32	 5046	 196	-610	-8	 274.22	 0	-4 	0
2025-11-04 17:43:33	 5081	 207	-731	-8	 274.22	 0	-1 	0
2025-11-04 17:43:36	 5188	 204	-728	-8	 286.52	 -1	1 	0
2025-11-04 17:43:37	 5231	 199	-710	-8	 270.70	 -1	1 	0
2025-11-04 17:43:38	 5266	 197	-719	-8	 267.19	 -1	-6 	0
2025-11-04 17:43:39	 5301	 178	-1127	-8	 283.01	 0	-16 	0
2025-11-04 17:43:40	 5336	 530	-1412	-8	 44.30	 13	4 	0
2025-11-04 17:43:41	 5371	 686	-1077	-8	 172.62	 -8	5 	0
2025-11-04 17:43:42	 5406	 416	-963	-8	 97.03	 -7	7 	0
2025-11-04 17:43:43	 5441	 373	-798	-8	 109.34	 -1	0 	0
2025-11-04 17:43:44	 5476	 282	-671	-8	 126.91	 -5	6 	0
2025-11-04 17:43:45	 5511	 191	-550	-8	 162.07	 -1	0 	0
2025-11-04 17:43:46	 5546	 176	-542	-8	 165.59	 5	-2 	0
2025-11-04 17:43:47	 5581	 225	-554	-8	 125.16	 -1	0 	0
2025-11-04 17:43:48	 5624	 255	-517	-8	 46.05	 4	4 	0
2025-11-04 17:43:49	 5659	 307	-465	-8	 97.03	 0	0 	0
2025-11-04 17:43:51	 5727	 268	-465	-8	 191.95	 -3	-1 	0
2025-11-04 17:43:52	 5762	 96	-487	-8	 123.40	 -3	0 	0
2025-11-04 17:43:53	 5797	 91	-465	-8	 68.91	 -1	0 	0
2025-11-04 17:43:54	 5832	 175	-465	0	 50.51	 3	-3 	0
2025-11-04 17:43:55	 5867	 222	-504	-8	 118.15	 0	-1 	0
2025-11-04 17:44:02	 6057	 287	-1529	-114	 90.00	 -1	0 	9
2025-11-04 17:44:03	 6093	 287	-1529	-78	 90.00	 -1	1 	9
2025-11-04 17:44:04	 6135	 287	-1529	-36	 90.00	 -1	1 	9
2025-11-04 17:44:05	 6170	 225	-1191	-8	 155.04	 -10	10 	0
2025-11-04 17:44:06	 6205	 19	-824	-8	 358.59	 6	6 	0
2025-11-04 17:44:07	 6240	 155	-798	-8	 295.31	 1	-2 	0
2025-11-04 17:44:08	 6275	 173	-793	-8	 267.19	 0	0 	0
2025-11-04 17:44:10	 6366	 175	-774	-8	 258.40	 0	0 	0
2025-11-04 17:44:11	 6404	 167	-747	-8	 275.98	 -1	0 	0
2025-11-04 17:44:13	 6450	 168	-717	-8	 275.98	 0	0 	0
2025-11-04 17:44:14	 6485	 198	-878	-8	 170.98	 0	-2 	0
2025-11-04 17:44:16	 6522	 287	-1529	-128	 90.00	 -1	0 	9
2025-11-04 17:44:17	 6557	 287	-1529	-96	 90.00	 -1	0 	9
2025-11-04 17:44:18	 6592	 287	-1529	-61	 90.00	 -1	0 	9
2025-11-04 17:44:19	 6633	 287	-1484	-8	 90.00	 -1	6 	0
2025-11-04 17:44:20	 6668	 324	-1228	-8	 74.18	 1	5 	0
2025-11-04 17:44:21	 6703	 343	-1176	-8	 95.27	 0	-2 	0
2025-11-04 17:44:22	 6738	 341	-1176	-8	 100.55	 -1	0 	0
2025-11-04 17:44:24	 6793	 337	-1182	-8	 58.36	 -1	-2 	0
2025-11-04 17:44:25	 6828	 326	-1194	-8	 58.36	 -1	-2 	0
2025-11-04 17:44:26	 6863	 311	-1188	-8	 300.66	 -1	0 	0
2025-11-04 17:44:29	 6946	 287	-1529	-71	 90.00	 -1	0 	9
2025-11-04 17:44:30	 6981	 287	-1529	-36	 90.00	 -1	0 	9
2025-11-04 17:44:31	 7016	 287	-1347	-8	 90.00	 -1	7 	0
2025-11-04 17:44:32	 7051	 290	-1142	-8	 81.21	 0	1 	0
2025-11-04 17:44:33	 7086	 292	-1115	-8	 84.73	 0	4 	0
2025-11-04 17:44:34	 7121	 338	-885	-8	 77.70	 2	13 	0
2025-11-04 17:44:35	 7156	 219	-545	-8	 234.14	 -11	-5 	0
2025-11-04 17:44:36	 7191	 15	-952	-8	 307.97	 4	-15 	0
2025-11-04 17:44:37	 7226	 241	-918	-8	 102.66	 -1	13 	0
2025-11-04 17:44:38	 7261	 333	-545	-8	 299.18	 10	-2 	0
2025-11-04 17:44:39	 7296	 444	-810	-8	 227.11	 -8	-13 	0
2025-11-04 17:44:40	 7331	 191	-1203	-8	 242.93	 -10	-14 	0
2025-11-04 17:44:41	 7366	 245	-1575	-8	 13.01	 13	-5 	9
2025-11-04 17:44:42	 7401	 414	-1521	-8	 104.41	 -3	15 	0
2025-11-04 17:44:43	 7436	 336	-1242	-8	 104.41	 -1	1 	0
2025-11-04 17:44:44	 7480	 333	-1229	-8	 104.41	 0	-1 	0
2025-11-04 17:44:47	 7576	 333	-1224	-8	 92.11	 -1	4 	0
2025-11-04 17:44:48	 7611	 326	-1058	-8	 92.11	 -1	2 	0
2025-11-04 17:44:49	 7646	 300	-823	-8	 153.63	 -6	8 	0
2025-11-04 17:44:50	 7681	 163	-962	-8	 329.41	 9	-10 	0
2025-11-04 17:44:51	 7716	 343	-1075	-8	 303.05	 1	0 	0
2025-11-04 17:44:52	 7751	 352	-1080	-8	 197.58	 -1	-1 	0
2025-11-04 17:44:53	 7786	 511	-1043	-8	 187.03	 7	1 	0
2025-11-04 17:44:54	 7821	 791	-1006	-8	 216.91	 7	2 	0
2025-11-04 17:44:55	 7856	 927	-915	-8	 211.64	 -4	-2 	0
2025-11-04 17:44:56	 7891	 729	-993	-8	 188.79	 -3	-1 	0
2025-11-04 17:44:57	 7926	 682	-1003	-8	 188.79	 -5	-1 	0
