                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0xf56795cef010, 2000000 allocated for zone
Using /home/daniel/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/daniel/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/daniel/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 18:48:24 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 18:48:24	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-04 18:48:26	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-04 18:48:27	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-04 18:48:28	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-04 18:48:29	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-04 18:48:30	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-04 18:48:31	 381	 -212	-270	-9	 82.97	 12	-12 	0
2025-11-04 18:48:32	 416	 -136	-150	0	 188.44	 -12	1 	5
2025-11-04 18:48:33	 451	 -98	7	0	 33.75	 12	5 	5
2025-11-04 18:48:34	 486	 180	353	40	 87.19	 0	15 	0
2025-11-04 18:48:35	 521	 286	539	56	 133.59	 3	7 	0
2025-11-04 18:48:36	 556	 155	735	56	 156.09	 -6	0 	0
2025-11-04 18:48:37	 596	 130	735	56	 323.44	 8	0 	0
2025-11-04 18:48:38	 631	 335	611	56	 277.03	 -2	-6 	0
When: 2025-11-04 18:48:38 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 18:48:41	 688	 983	-3458	0	 162.07	 -7	4 	0
2025-11-04 18:48:42	 723	 736	-3358	0	 162.07	 -11	3 	0
2025-11-04 18:48:43	 758	 403	-3221	-8	 162.07	 -15	4 	0
2025-11-04 18:48:44	 793	 123	-3046	-8	 68.91	 5	6 	0
2025-11-04 18:48:45	 828	 334	-3056	-8	 246.09	 -1	-1 	0
