                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0xfce0383df010, 2000000 allocated for zone
Using /home/daniel/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/daniel/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/daniel/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 20:09:17 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 20:09:17	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-04 20:09:19	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-04 20:09:20	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-04 20:09:21	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-04 20:09:22	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-04 20:09:23	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-04 20:09:24	 381	 -212	-270	-9	 82.97	 12	-12 	0
2025-11-04 20:09:25	 416	 -136	-150	0	 188.44	 -12	1 	5
2025-11-04 20:09:26	 451	 -98	7	0	 33.75	 12	5 	5
2025-11-04 20:09:27	 486	 180	353	40	 87.19	 0	15 	0
2025-11-04 20:09:28	 521	 286	539	56	 133.59	 3	7 	0
2025-11-04 20:09:29	 556	 155	735	56	 156.09	 -6	0 	0
2025-11-04 20:09:30	 596	 130	735	56	 323.44	 8	0 	0
2025-11-04 20:09:31	 631	 335	611	56	 277.03	 -2	-6 	0
2025-11-04 20:09:32	 666	 316	609	56	 282.66	 0	0 	0
2025-11-04 20:09:33	 701	 198	523	56	 310.78	 -7	2 	0
2025-11-04 20:09:34	 736	 139	538	56	 323.44	 1	-2 	0
2025-11-04 20:09:35	 771	 155	525	56	 324.84	 -5	3 	0
2025-11-04 20:09:36	 806	 352	451	56	 247.50	 5	8 	0
2025-11-04 20:09:37	 841	 311	273	56	 52.03	 3	2 	0
2025-11-04 20:09:38	 876	 344	361	56	 95.62	 -2	-1 	0
2025-11-04 20:09:39	 911	 314	314	56	 99.84	 -1	0 	0
2025-11-04 20:09:40	 946	 334	326	56	 119.53	 -1	2 	0
2025-11-04 20:09:41	 988	 311	385	56	 116.72	 -4	8 	0
