                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x75158004a010, 2000000 allocated for zone
Using /home/joseacontreras/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/joseacontreras/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/joseacontreras/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 19:44:00 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 19:44:00	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-04 19:44:02	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-04 19:44:03	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-04 19:44:04	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-04 19:44:05	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-04 19:44:06	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-04 19:44:07	 381	 -212	-270	-9	 82.97	 12	-12 	0
2025-11-04 19:44:08	 416	 -136	-150	0	 188.44	 -12	1 	5
2025-11-04 19:44:09	 451	 -98	7	0	 33.75	 12	5 	5
2025-11-04 19:44:10	 486	 180	353	40	 87.19	 0	15 	0
2025-11-04 19:44:11	 521	 286	539	56	 133.59	 3	7 	0
2025-11-04 19:44:12	 556	 155	735	56	 156.09	 -6	0 	0
2025-11-04 19:44:13	 596	 130	735	56	 323.44	 8	0 	0
2025-11-04 19:44:14	 631	 335	611	56	 277.03	 -2	-6 	0
When: 2025-11-04 19:44:15 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 19:44:20	 801	 1055	-3603	0	 107.93	 -1	4 	0
2025-11-04 19:44:21	 836	 958	-3377	0	 114.96	 -3	7 	0
2025-11-04 19:44:22	 871	 762	-3194	0	 190.55	 -8	0 	0
2025-11-04 19:44:23	 906	 473	-3221	-8	 190.55	 -9	-2 	0
2025-11-04 19:44:24	 941	 169	-3237	88	 178.24	 -9	-1 	0
2025-11-04 19:44:25	 976	 -8	-3191	104	 185.27	 -1	0 	0
2025-11-04 19:44:26	 1011	 -10	-3181	104	 246.09	 -2	-1 	0
2025-11-04 19:44:34	 1261	 1056	-3616	0	 90.00	 -1	0 	0
2025-11-04 19:44:35	 1296	 1055	-3507	0	 31.99	 -1	0 	0
2025-11-04 19:44:36	 1331	 1166	-3452	0	 79.45	 1	0 	0
2025-11-04 19:44:37	 1366	 1161	-3441	0	 174.38	 -5	0 	0
2025-11-04 19:44:38	 1401	 1059	-3408	0	 102.30	 -2	4 	0
2025-11-04 19:44:39	 1436	 1003	-3275	-16	 170.86	 -6	1 	0
2025-11-04 19:44:40	 1471	 747	-3247	0	 170.86	 -9	1 	0
2025-11-04 19:44:41	 1506	 451	-3221	-8	 174.38	 -9	0 	0
2025-11-04 19:44:42	 1541	 156	-3219	88	 190.20	 -10	-2 	0
2025-11-04 19:44:43	 1576	 -138	-3274	104	 200.74	 -8	-3 	0
2025-11-04 19:44:44	 1611	 -153	-3297	104	 195.47	 -1	-1 	0
2025-11-04 19:44:46	 1662	 -304	-3241	104	 100.55	 -1	3 	0
2025-11-04 19:44:47	 1697	 -304	-3224	104	 44.30	 -1	-4 	0
2025-11-04 19:44:48	 1732	 -233	-3264	128	 51.33	 3	3 	0
