                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x70ce970d5010, 2000000 allocated for zone
Using /home/joseacontreras/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/joseacontreras/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/joseacontreras/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 19:49:25 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 19:49:25	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-04 19:49:27	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-04 19:49:28	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-04 19:49:29	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-04 19:49:30	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-04 19:49:31	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-04 19:49:32	 381	 -212	-270	-9	 82.97	 12	-12 	0
When: 2025-11-04 19:49:33 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 19:49:35	 417	 1055	-3538	0	 91.76	 -1	6 	0
2025-11-04 19:49:36	 452	 963	-3282	-16	 167.34	 -6	6 	0
2025-11-04 19:49:37	 487	 697	-3226	0	 179.65	 -9	-1 	0
2025-11-04 19:49:38	 522	 399	-3225	-8	 184.92	 -9	-1 	0
2025-11-04 19:49:39	 557	 107	-3234	104	 186.68	 -9	-1 	0
2025-11-04 19:49:40	 592	 -184	-3240	128	 177.89	 -9	0 	0
2025-11-04 19:49:41	 648	 -288	-3247	104	 348.40	 4	-2 	0
2025-11-04 19:49:42	 683	 -42	-3265	104	 25.31	 7	2 	0
2025-11-04 19:49:43	 718	 188	-3108	50	 51.68	 5	5 	0
2025-11-04 19:49:44	 753	 171	-3151	-8	 32.34	 -3	-4 	0
2025-11-04 19:49:45	 788	 239	-3100	-8	 111.45	 -1	2 	0
2025-11-04 19:49:46	 823	 103	-3066	-8	 234.49	 -4	-5 	0
2025-11-04 19:49:47	 858	 144	-3153	-8	 357.54	 2	-2 	0
2025-11-04 19:49:48	 893	 239	-3088	-8	 76.64	 0	4 	0
2025-11-04 19:49:49	 928	 205	-3025	-8	 87.19	 -1	0 	0
2025-11-04 19:49:51	 976	 251	-3025	-8	 354.02	 6	-1 	0
2025-11-04 19:49:53	 1011	 435	-3161	-8	 239.77	 0	-8 	0
2025-11-04 19:49:54	 1046	 320	-3283	-8	 178.24	 -7	-1 	0
2025-11-04 19:49:55	 1081	 123	-3321	-8	 245.04	 -1	-1 	0
2025-11-04 19:49:56	 1123	 122	-3366	-8	 274.92	 0	-6 	0
2025-11-04 19:49:57	 1158	 188	-3432	-8	 4.57	 6	0 	0
2025-11-04 19:49:58	 1193	 400	-3368	-8	 53.79	 4	4 	0
2025-11-04 19:49:59	 1228	 595	-3172	-8	 41.48	 6	5 	0
2025-11-04 19:50:00	 1263	 929	-3001	0	 37.97	 12	9 	0
2025-11-04 19:50:01	 1298	 1167	-2939	0	 48.52	 1	1 	0
2025-11-04 19:50:02	 1333	 1232	-2896	0	 32.70	 8	1 	0
2025-11-04 19:50:03	 1368	 1379	-2548	0	 25.66	 5	10 	0
2025-11-04 19:50:04	 1413	 1519	-2449	0	 2.81	 0	0 	0
2025-11-04 19:50:05	 1448	 1615	-2467	0	 355.78	 7	-1 	0
2025-11-04 19:50:06	 1483	 1894	-2494	0	 339.96	 8	-2 	0
2025-11-04 19:50:07	 1518	 2137	-2532	8	 69.61	 2	0 	0
2025-11-04 19:50:09	 1553	 2181	-2475	16	 71.37	 0	0 	0
2025-11-04 19:50:10	 1588	 2188	-2385	16	 73.12	 0	6 	0
2025-11-04 19:50:12	 1623	 2238	-2322	24	 320.62	 2	-2 	0
2025-11-04 19:50:13	 1658	 2264	-2462	24	 216.91	 -4	-6 	0
2025-11-04 19:50:14	 1693	 2092	-2542	0	 183.52	 -7	0 	0
2025-11-04 19:50:16	 1728	 1913	-2681	0	 304.80	 0	-8 	0
2025-11-04 19:50:17	 1763	 2050	-2736	0	 357.54	 7	-1 	0
2025-11-04 19:50:18	 1798	 2329	-2706	0	 29.18	 7	2 	0
2025-11-04 19:50:20	 1833	 2510	-2625	0	 8.09	 6	2 	0
2025-11-04 19:50:21	 1868	 2693	-2638	-8	 324.14	 1	-1 	0
2025-11-04 19:50:22	 1903	 2715	-2650	-8	 324.14	 1	-2 	0
2025-11-04 19:50:23	 1938	 2874	-2782	-24	 283.71	 5	-7 	0
2025-11-04 19:50:25	 1973	 2972	-3039	-24	 274.92	 1	-6 	0
2025-11-04 19:50:26	 2008	 2994	-3188	-24	 264.38	 -1	-3 	0
2025-11-04 19:50:27	 2043	 2992	-3226	-24	 269.65	 -1	-1 	0
2025-11-04 19:50:28	 2096	 3002	-3306	-24	 311.84	 0	-2 	0
2025-11-04 19:50:29	 2131	 3089	-3347	-24	 334.69	 2	-1 	0
2025-11-04 19:50:30	 2166	 3136	-3427	-24	 255.59	 0	-3 	0
2025-11-04 19:50:31	 2201	 3086	-3619	-24	 248.55	 -4	-8 	0
2025-11-04 19:50:32	 2236	 3001	-3666	-24	 320.62	 -1	-1 	0
2025-11-04 19:50:34	 2278	 3023	-3686	-24	 327.66	 4	-3 	0
2025-11-04 19:50:35	 2313	 3051	-3794	-24	 250.31	 -2	-7 	0
2025-11-04 19:50:36	 2348	 2977	-4000	-24	 311.84	 -1	0 	0
2025-11-04 19:50:37	 2383	 3055	-4013	-24	 285.47	 0	-4 	0
2025-11-04 19:50:38	 2418	 3048	-4213	-24	 243.28	 -1	-3 	0
2025-11-04 19:50:39	 2453	 3069	-4179	-24	 271.41	 0	0 	0
2025-11-04 19:50:40	 2494	 3073	-4140	-24	 243.28	 0	0 	0
2025-11-04 19:51:05	 2530	 3072	-4144	-24	 255.59	 -1	-2 	0
2025-11-04 19:51:06	 2565	 3062	-4177	-24	 304.80	 -2	1 	0
2025-11-04 19:51:07	 2600	 2967	-4049	-24	 292.50	 -3	0 	0
2025-11-04 19:51:08	 2641	 3014	-4139	-24	 301.29	 3	-6 	0
2025-11-04 19:51:09	 2676	 3070	-4381	-24	 208.12	 -4	-7 	0
2025-11-04 19:51:10	 2711	 2844	-4452	-24	 136.05	 -8	2 	0
2025-11-04 19:51:11	 2746	 2755	-4268	-24	 72.77	 1	6 	0
2025-11-04 19:51:12	 2781	 2819	-4161	-24	 332.58	 2	-2 	0
2025-11-04 19:51:13	 2816	 2856	-4336	-24	 209.53	 -2	-1 	0
2025-11-04 19:51:14	 2851	 2709	-4446	-24	 281.60	 -3	-8 	0
