                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x73f143ea8010, 2000000 allocated for zone
Using /home/joseacontreras/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/joseacontreras/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/joseacontreras/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 20:11:49 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 20:11:49	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-04 20:11:51	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-04 20:11:52	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-04 20:11:53	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-04 20:11:54	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-04 20:11:55	 346	 -376	-230	0	 91.41	 -3	15 	0
2025-11-04 20:11:56	 381	 -212	-270	-9	 82.97	 12	-12 	0
2025-11-04 20:11:57	 416	 -136	-150	0	 188.44	 -12	1 	5
2025-11-04 20:11:58	 451	 -98	7	0	 33.75	 12	5 	5
2025-11-04 20:11:59	 486	 180	353	40	 87.19	 0	15 	0
2025-11-04 20:12:00	 521	 286	539	56	 133.59	 3	7 	0
2025-11-04 20:12:01	 556	 155	735	56	 156.09	 -6	0 	0
2025-11-04 20:12:02	 596	 130	735	56	 323.44	 8	0 	0
When: 2025-11-04 20:12:02 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 20:12:05	 667	 1054	-3526	0	 116.37	 -1	4 	0
2025-11-04 20:12:06	 702	 941	-3342	-8	 153.28	 -2	2 	0
2025-11-04 20:12:07	 737	 821	-3174	0	 82.97	 -1	6 	0
2025-11-04 20:12:08	 772	 951	-2970	0	 356.84	 7	2 	0
2025-11-04 20:12:09	 807	 1225	-2927	0	 58.36	 6	4 	0
2025-11-04 20:12:10	 842	 1344	-2690	0	 72.42	 1	7 	0
2025-11-04 20:12:11	 877	 1475	-2485	0	 342.77	 7	0 	0
2025-11-04 20:12:12	 912	 1519	-2485	0	 16.17	 0	1 	0
2025-11-04 20:12:13	 947	 1631	-2464	0	 355.08	 7	-1 	0
2025-11-04 20:12:14	 982	 1913	-2471	0	 3.87	 8	0 	0
2025-11-04 20:12:15	 1017	 2062	-2474	0	 7.38	 -1	-1 	0
2025-11-04 20:12:16	 1052	 2101	-2441	0	 353.32	 2	0 	0
2025-11-04 20:12:17	 1087	 2130	-2436	8	 109.34	 -1	2 	0
