                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x785b8f04a010, 2000000 allocated for zone
Using /home/joseacontreras/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/joseacontreras/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/joseacontreras/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-04 20:58:09 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 20:58:09	 171	 -224	-624	0	 85.78	 -1	-2 	0
2025-11-04 20:58:11	 206	 -192	-594	0	 187.03	 -1	0 	0
2025-11-04 20:58:12	 241	 -281	-627	0	 2.81	 2	2 	0
2025-11-04 20:58:13	 276	 -26	-590	0	 104.06	 1	1 	0
2025-11-04 20:58:14	 311	 -103	-576	0	 97.03	 -12	-2 	0
2025-11-04 20:58:15	 346	 -376	-230	0	 91.41	 -3	15 	0
When: 2025-11-04 20:58:16 Episode: 1 Map: 1
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-04 20:58:18	 407	 1055	-3602	0	 90.00	 -1	4 	0
2025-11-04 20:58:19	 442	 1055	-3512	0	 162.07	 -1	0 	0
2025-11-04 20:58:21	 489	 989	-3487	0	 160.31	 -7	2 	0
2025-11-04 20:58:22	 524	 753	-3351	0	 156.80	 -7	4 	0
2025-11-04 20:58:23	 559	 500	-3269	-8	 165.59	 -9	1 	0
2025-11-04 20:58:24	 594	 210	-3245	56	 181.41	 -9	-1 	0
2025-11-04 20:58:25	 629	 -80	-3240	104	 169.10	 -9	1 	0
2025-11-04 20:58:26	 664	 -304	-3254	104	 272.81	 0	-1 	0
2025-11-04 20:58:27	 707	 -194	-3275	128	 2.46	 7	-1 	0
2025-11-04 20:58:28	 742	 89	-3272	104	 5.98	 8	0 	0
2025-11-04 20:58:29	 777	 418	-3240	-8	 5.98	 13	1 	0
2025-11-04 20:58:30	 812	 888	-3025	0	 20.04	 12	10 	0
2025-11-04 20:58:31	 847	 1125	-2897	0	 2.46	 3	0 	0
2025-11-04 20:58:32	 882	 1170	-2960	0	 350.16	 6	-4 	0
2025-11-04 20:58:33	 917	 1327	-2911	0	 78.05	 0	5 	0
2025-11-04 20:58:34	 952	 1350	-2701	0	 72.77	 1	7 	0
2025-11-04 20:58:35	 987	 1445	-2470	0	 343.12	 3	-1 	0
2025-11-04 20:58:36	 1022	 1491	-2492	0	 2.46	 -3	-1 	0
