                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x770212791010, 2000000 allocated for zone
Using /home/joseacontreras/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/joseacontreras/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/joseacontreras/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 3  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-05 20:37:32 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-05 20:37:37	 129	 -1472	-3344	64	 102.30	 -1	0 	0
2025-11-05 20:37:38	 164	 -1494	-3245	64	 26.72	 -1	0 	0
2025-11-05 20:37:39	 199	 -1361	-3305	64	 263.67	 0	-1 	0
2025-11-05 20:37:40	 234	 -1425	-3331	64	 193.36	 -6	-2 	0
2025-11-05 20:37:41	 269	 -1648	-3362	64	 124.80	 0	0 	0
2025-11-05 20:37:42	 304	 -1607	-3279	64	 49.22	 3	6 	0
2025-11-05 20:37:43	 339	 -1566	-3253	64	 72.07	 -2	-6 	0
2025-11-05 20:37:44	 374	 -1513	-3191	64	 93.16	 2	4 	0
2025-11-05 20:37:45	 409	 -1487	-3176	64	 158.20	 -5	1 	0
2025-11-05 20:37:46	 444	 -1722	-3067	64	 145.90	 -8	3 	0
2025-11-05 20:37:47	 479	 -1814	-3041	64	 100.20	 0	-4 	0
2025-11-05 20:37:48	 514	 -1809	-3084	64	 91.41	 -1	2 	0
2025-11-05 20:37:49	 549	 -1812	-2962	64	 96.68	 -1	5 	0
2025-11-05 20:37:50	 584	 -1837	-2848	64	 98.44	 -1	2 	0
2025-11-05 20:37:51	 619	 -1850	-2758	64	 77.34	 -1	1 	0
2025-11-05 20:37:52	 654	 -1811	-2685	64	 66.80	 2	4 	0
2025-11-05 20:37:53	 689	 -1756	-2564	64	 344.18	 4	1 	0
2025-11-05 20:37:54	 724	 -1678	-2540	64	 345.94	 -2	0 	0
2025-11-05 20:37:55	 759	 -1678	-2566	64	 319.57	 4	-5 	0
2025-11-05 20:37:56	 794	 -1698	-2604	64	 70.31	 -2	2 	0
2025-11-05 20:37:57	 829	 -1681	-2482	64	 156.45	 0	0 	0
2025-11-05 20:37:58	 864	 -1752	-2538	64	 223.24	 -6	-5 	0
2025-11-05 20:37:59	 899	 -1868	-2778	64	 272.46	 -1	-9 	0
2025-11-05 20:38:00	 934	 -1797	-3047	64	 342.77	 5	-6 	0
2025-11-05 20:38:01	 969	 -1580	-3110	64	 39.02	 -1	-4 	0
2025-11-05 20:38:02	 1004	 -1594	-3118	64	 65.39	 2	4 	0
2025-11-05 20:38:03	 1039	 -1577	-3031	64	 35.51	 1	1 	0
2025-11-05 20:38:04	 1074	 -1572	-3023	64	 35.51	 -6	-4 	0
2025-11-05 20:38:05	 1109	 -1674	-3105	64	 19.69	 4	1 	0
2025-11-05 20:38:06	 1144	 -1450	-2987	64	 358.59	 7	2 	0
2025-11-05 20:38:07	 1179	 -1395	-3076	64	 346.29	 4	-5 	0
2025-11-05 20:38:08	 1214	 -1183	-3019	64	 56.60	 4	6 	0
2025-11-05 20:38:09	 1249	 -1090	-2832	64	 170.86	 5	-1 	0
2025-11-05 20:38:10	 1284	 -1056	-2820	64	 214.80	 -2	-1 	0
2025-11-05 20:38:11	 1319	 -1073	-2828	64	 114.61	 -2	1 	0
2025-11-05 20:38:12	 1354	 -1153	-2594	64	 148.01	 -1	2 	0
2025-11-05 20:38:13	 1389	 -1340	-2508	64	 190.20	 -8	0 	0
2025-11-05 20:38:14	 1424	 -1363	-2608	64	 297.42	 0	0 	0
2025-11-05 20:38:15	 1461	 -1301	-2589	64	 341.37	 6	-1 	0
2025-11-05 20:38:16	 1496	 -1119	-2693	64	 265.78	 1	-9 	0
2025-11-05 20:38:17	 1531	 -1200	-3024	64	 190.20	 -1	-2 	0
2025-11-05 20:38:18	 1566	 -1250	-3037	64	 169.10	 -8	1 	0
2025-11-05 20:38:19	 1601	 -1288	-3063	64	 207.77	 -8	-4 	0
2025-11-05 20:38:20	 1636	 -1562	-3077	64	 162.07	 -8	2 	0
2025-11-05 20:38:21	 1671	 -1808	-3025	64	 118.12	 -4	0 	0
2025-11-05 20:38:22	 1706	 -1877	-2819	64	 75.94	 0	7 	0
2025-11-05 20:38:23	 1741	 -1867	-2561	64	 148.01	 0	2 	0
2025-11-05 20:38:24	 1776	 -1888	-2517	64	 172.62	 -4	1 	0
2025-11-05 20:38:25	 1811	 -1869	-2500	64	 188.44	 0	-1 	0
2025-11-05 20:38:27	 1849	 -1930	-2460	64	 118.12	 -4	2 	0
2025-11-05 20:38:28	 1884	 -1925	-2538	64	 65.39	 0	-1 	0
2025-11-05 20:38:29	 1919	 -1905	-2518	64	 88.24	 0	-3 	0
2025-11-05 20:38:30	 1954	 -1891	-2570	64	 114.61	 1	-4 	0
2025-11-05 20:38:31	 1989	 -1855	-2646	64	 98.79	 0	0 	0
2025-11-05 20:38:32	 2024	 -1903	-2522	64	 121.64	 -3	5 	0
2025-11-05 20:38:33	 2059	 -1949	-2413	64	 149.77	 -5	3 	0
2025-11-05 20:38:34	 2094	 -2090	-2410	64	 172.62	 -2	-1 	0
2025-11-05 20:38:35	 2129	 -2160	-2473	64	 249.96	 -2	0 	0
2025-11-05 20:38:36	 2164	 -2151	-2606	64	 288.63	 1	-8 	0
2025-11-05 20:38:37	 2199	 -2138	-2612	64	 20.04	 4	1 	0
2025-11-05 20:38:38	 2234	 -1928	-2473	64	 60.47	 5	6 	0
2025-11-05 20:38:39	 2269	 -1859	-2371	64	 160.66	 -5	2 	0
2025-11-05 20:38:40	 2304	 -1959	-2323	64	 118.48	 -3	4 	0
2025-11-05 20:38:41	 2339	 -1961	-2365	64	 95.62	 1	-6 	0
2025-11-05 20:38:42	 2374	 -1884	-2303	64	 63.98	 3	6 	0
2025-11-05 20:38:43	 2409	 -1838	-2037	96	 134.30	 -3	7 	0
2025-11-05 20:38:44	 2444	 -1851	-1953	96	 199.34	 1	0 	0
2025-11-05 20:38:45	 2479	 -1803	-1942	96	 202.85	 0	-1 	0
2025-11-05 20:38:46	 2514	 -1794	-1952	96	 190.55	 2	-1 	0
2025-11-05 20:38:47	 2549	 -1827	-2024	96	 190.55	 -2	-2 	0
2025-11-05 20:38:48	 2584	 -1904	-2015	96	 160.66	 -6	2 	0
2025-11-05 20:38:49	 2619	 -2095	-1990	32	 245.04	 -5	-5 	0
2025-11-05 20:38:50	 2654	 -2176	-2120	32	 339.96	 -3	0 	0
