                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x791e21791010, 2000000 allocated for zone
Using /home/joseacontreras/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/joseacontreras/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/joseacontreras/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 4  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-05 21:03:25 Episode: 1 Map: 4
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-05 21:03:29	 52	 2032	1120	0	 180.00	 -1	-1 	0
2025-11-05 21:03:32	 87	 2025	1125	0	 157.15	 -4	1 	0
2025-11-05 21:03:33	 122	 1881	1161	0	 183.52	 -1	0 	0
2025-11-05 21:03:35	 191	 1773	1143	0	 227.46	 -7	-4 	0
2025-11-05 21:03:36	 226	 1651	916	0	 267.89	 -1	-9 	0
2025-11-05 21:03:37	 261	 1645	898	0	 267.89	 0	2 	0
2025-11-05 21:03:38	 296	 1645	951	0	 273.16	 -1	3 	0
2025-11-05 21:03:39	 331	 1644	1046	0	 274.92	 0	-2 	0
2025-11-05 21:03:40	 366	 1642	1062	0	 269.65	 -1	-4 	0
2025-11-05 21:03:41	 401	 1650	936	0	 273.16	 0	-7 	0
2025-11-05 21:03:42	 436	 1655	692	0	 262.62	 -1	-5 	0
2025-11-05 21:03:43	 471	 1634	518	0	 202.85	 3	1 	0
2025-11-05 21:03:44	 506	 1768	546	0	 107.93	 -2	4 	0
2025-11-05 21:03:45	 541	 1634	755	0	 171.21	 -7	4 	0
2025-11-05 21:03:46	 576	 1598	809	0	 192.30	 3	0 	0
2025-11-05 21:03:47	 611	 1703	837	0	 197.58	 2	0 	0
2025-11-05 21:03:48	 646	 1620	841	0	 139.57	 -7	2 	0
2025-11-05 21:03:49	 681	 1508	950	0	 123.75	 1	-2 	0
2025-11-05 21:03:50	 716	 1538	917	0	 97.38	 -1	4 	0
2025-11-05 21:03:51	 751	 1549	1025	0	 137.81	 2	-2 	0
2025-11-05 21:03:52	 786	 1619	974	0	 144.84	 3	-3 	0
2025-11-05 21:03:53	 821	 1543	940	0	 234.49	 -7	-4 	0
2025-11-05 21:03:54	 856	 1503	841	0	 148.36	 6	-2 	0
2025-11-05 21:03:55	 891	 1526	929	0	 116.72	 -4	6 	0
2025-11-05 21:03:56	 926	 1389	1150	0	 160.66	 -2	2 	0
2025-11-05 21:03:57	 961	 1572	1104	0	 160.66	 7	-3 	0
2025-11-05 21:03:58	 996	 1612	1030	0	 215.16	 -6	-4 	0
2025-11-05 21:03:59	 1031	 1405	852	0	 204.61	 -7	-6 	0
2025-11-05 21:04:00	 1066	 1165	779	8	 209.88	 -4	-1 	0
2025-11-05 21:04:01	 1101	 1020	726	8	 202.85	 -8	-3 	0
2025-11-05 21:04:02	 1136	 889	532	8	 294.26	 1	-8 	0
2025-11-05 21:04:03	 1171	 875	475	24	 348.75	 2	-1 	0
2025-11-05 21:04:04	 1206	 839	486	24	 325.90	 -7	2 	0
2025-11-05 21:04:05	 1241	 729	499	8	 280.20	 -1	0 	0
2025-11-05 21:04:06	 1276	 711	583	8	 280.20	 0	-5 	0
2025-11-05 21:04:07	 1311	 727	495	8	 280.20	 0	-1 	0
2025-11-05 21:06:10	 5605	 713	567	8	 280.20	 -2	6 	0
2025-11-05 21:06:11	 5640	 725	594	8	 327.66	 4	-6 	0
2025-11-05 21:06:12	 5675	 912	600	8	 90.70	 3	4 	0
2025-11-05 21:06:13	 5710	 947	648	8	 213.75	 0	0 	0
2025-11-05 21:06:14	 5756	 849	562	8	 227.81	 -7	-5 	0
2025-11-05 21:06:15	 5791	 733	387	8	 294.61	 -2	0 	3
2025-11-05 21:06:17	 5842	 734	357	72	 294.61	 0	-1 	3
2025-11-05 21:06:18	 5877	 720	368	128	 338.55	 0	1 	3
2025-11-05 21:06:19	 5912	 720	397	128	 317.46	 0	0 	3
2025-11-05 21:06:20	 5947	 815	305	128	 338.55	 0	-1 	0
2025-11-05 21:06:21	 5982	 888	303	128	 20.74	 5	0 	0
2025-11-05 21:06:22	 6017	 948	276	128	 40.08	 -1	-1 	0
2025-11-05 21:06:23	 6052	 956	288	128	 10.20	 0	0 	0
2025-11-05 21:06:24	 6087	 1113	380	128	 52.38	 3	4 	0
2025-11-05 21:06:25	 6122	 1287	579	128	 27.77	 6	5 	0
2025-11-05 21:06:26	 6157	 1327	653	128	 277.03	 -1	-3 	0
2025-11-05 21:06:27	 6192	 1235	500	128	 224.30	 -6	-5 	0
2025-11-05 21:06:28	 6227	 1030	311	128	 204.96	 -7	-5 	0
2025-11-05 21:06:29	 6262	 759	260	128	 180.35	 -9	0 	0
2025-11-05 21:06:30	 6297	 649	265	128	 173.32	 -1	0 	0
2025-11-05 21:06:31	 6332	 500	395	136	 108.28	 -4	7 	0
2025-11-05 21:06:32	 6367	 402	665	136	 108.28	 -3	7 	0
2025-11-05 21:06:33	 6402	 287	929	136	 153.98	 -6	6 	0
2025-11-05 21:06:34	 6437	 29	1025	136	 185.62	 -9	0 	0
2025-11-05 21:06:35	 6472	 -228	928	136	 252.42	 -6	-7 	0
2025-11-05 21:06:36	 6507	 -286	664	136	 277.03	 0	-9 	0
2025-11-05 21:06:37	 6542	 -208	395	136	 312.19	 4	-7 	0
2025-11-05 21:06:38	 6577	 -10	186	136	 282.30	 4	-7 	0
2025-11-05 21:06:39	 6612	 43	-90	94	 285.82	 -1	-8 	0
2025-11-05 21:06:40	 6647	 124	-205	48	 15.47	 6	0 	0
2025-11-05 21:06:41	 6682	 391	-154	0	 342.07	 8	-1 	0
2025-11-05 21:06:42	 6717	 520	-194	0	 15.47	 -3	-2 	0
2025-11-05 21:06:43	 6752	 383	-237	0	 15.47	 -6	-2 	0
2025-11-05 21:06:44	 6787	 330	-235	0	 10.20	 2	0 	0
2025-11-05 21:06:45	 6822	 402	-223	0	 8.44	 -1	-1 	0
2025-11-05 21:06:46	 6857	 304	-229	0	 3.16	 -5	-1 	0
2025-11-05 21:06:47	 6892	 230	-231	0	 3.16	 -1	0 	0
2025-11-05 21:06:50	 7018	 303	-226	0	 3.16	 0	0 	0
2025-11-05 21:06:52	 7067	 311	-215	0	 3.16	 -1	1 	0
