                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7c40fe74f010, 2000000 allocated for zone
Using /home/joseacontreras/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/joseacontreras/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/joseacontreras/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 5  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-05 21:27:51 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-05 21:27:54	 74	 -224	-624	0	 90.00	 -1	0 	0
2025-11-05 21:27:55	 109	 -180	-556	0	 186.68	 3	-1 	0
2025-11-05 21:27:56	 144	 -161	-613	0	 227.11	 -1	-3 	0
2025-11-05 21:27:57	 179	 -312	-670	0	 158.55	 -7	-1 	0
2025-11-05 21:27:58	 214	 -275	-687	0	 35.51	 2	1 	0
2025-11-05 21:27:59	 249	 -66	-625	0	 21.45	 5	0 	0
2025-11-05 21:28:00	 284	 -66	-576	0	 102.30	 -1	2 	0
2025-11-05 21:28:01	 319	 -52	-551	0	 135.70	 -1	0 	0
2025-11-05 21:28:02	 354	 -56	-556	0	 118.12	 -3	4 	0
2025-11-05 21:28:03	 389	 -229	-148	0	 74.18	 -1	11 	5
2025-11-05 21:28:04	 424	 -256	-109	0	 172.62	 -6	1 	5
2025-11-05 21:28:05	 459	 -400	-195	0	 107.58	 -1	-5 	5
2025-11-05 21:28:06	 494	 -348	-220	0	 70.66	 2	4 	0
2025-11-05 21:28:07	 529	 -323	-195	0	 67.15	 0	1 	5
2025-11-05 21:28:08	 564	 -305	-153	0	 58.36	 -2	-3 	5
2025-11-05 21:28:09	 606	 -312	-164	0	 35.51	 1	1 	5
2025-11-05 21:28:10	 641	 -258	-129	0	 61.88	 -2	-3 	5
2025-11-05 21:28:11	 676	 -268	-171	0	 54.84	 0	-1 	5
2025-11-05 21:28:12	 711	 -246	-136	0	 65.39	 1	1 	5
2025-11-05 21:28:13	 746	 -237	-129	0	 65.39	 0	1 	5
2025-11-05 21:28:14	 781	 -168	2	0	 77.70	 3	6 	5
2025-11-05 21:28:15	 816	 -47	235	0	 351.56	 4	2 	5
